Sat Jan 24 20:37:30 2015 us=938025 Expected Remote Options hash (VER=V4): '930e0f94'
Sat Jan 24 20:37:30 2015 us=938874 UDPv4 link local (bound): [undef]
Sat Jan 24 20:37:30 2015 us=939408 UDPv4 link remote: [undef]
Sun Jan 25 18:30:11 2015 us=475911 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=521529 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=522363 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=532387 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=549946 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=569904 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=603091 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=613724 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=633391 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=662503 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=672875 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=698670 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=712738 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=762036 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=764475 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=773916 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=791086 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=824091 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=828780 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=850817 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=883776 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=892891 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=912288 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=932000 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=962590 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=971397 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:11 2015 us=992880 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=20286 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=32222 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=53449 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=70238 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=105206 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=112308 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=135095 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=153498 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=185299 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=191208 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=212906 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=242898 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=248804 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=271945 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=291480 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=323051 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=340185 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=348895 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=382681 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=397417 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=415600 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=429210 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=461218 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=471819 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=498543 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=519899 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=544690 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=553605 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=570586 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=602443 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=610995 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=632688 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=650891 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=681018 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=691630 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=711310 Authenticate/Decrypt packet error: packet HMAC authentication failed
Sun Jan 25 18:30:12 2015 us=741603 Authenticate/Decrypt packet error: packet HMAC authentication failed
